book_imbalance,mid_price,timestamp
15244715.186410408,38112100.0,2022-05-22 02:13:09.158152
15243413.995797139,38109600.0,2022-05-22 02:13:14.115000
15243125.248539293,38108800.0,2022-05-22 02:13:19.076305
15243959.297115788,38110100.0,2022-05-22 02:13:24.037091
15243825.996985177,38109800.0,2022-05-22 02:13:29.154598
15243825.996985177,38109800.0,2022-05-22 02:13:34.119762
15243776.312211145,38109800.0,2022-05-22 02:13:39.079109
15243927.896445835,38109800.0,2022-05-22 02:13:44.062338
15245048.15412597,38112500.0,2022-05-22 02:13:49.018678
15245220.27220136,38112500.0,2022-05-22 02:13:53.979674
15245805.627053535,38113700.0,2022-05-22 02:13:58.937039
15246735.448075915,38116500.0,2022-05-22 02:14:03.898485
15247347.308894092,38118100.0,2022-05-22 02:14:08.855906
15252687.487011606,38131600.0,2022-05-22 02:14:13.813903
15251273.398117024,38128300.0,2022-05-22 02:14:18.772490
15246562.847614009,38116300.0,2022-05-22 02:14:23.927543
15246542.847614009,38116200.0,2022-05-22 02:14:29.077152
15246608.70135346,38116300.0,2022-05-22 02:14:34.050884
15247473.92566312,38118100.0,2022-05-22 02:14:39.166941
15247857.718853956,38119000.0,2022-05-22 02:14:44.124602
15247697.087462211,38118800.0,2022-05-22 02:14:49.076060
15247788.84080575,38119000.0,2022-05-22 02:14:54.032616
15247787.337289792,38119000.0,2022-05-22 02:14:58.993922
15247175.067260038,38117500.0,2022-05-22 02:15:03.955167
15247175.067260038,38117500.0,2022-05-22 02:15:08.909334
15247175.067260038,38117500.0,2022-05-22 02:15:13.869556
15247175.067260038,38117500.0,2022-05-22 02:15:19.109842
15246573.85728411,38116100.0,2022-05-22 02:15:24.068906
15247062.33786706,38117400.0,2022-05-22 02:15:29.027719
15247116.703014594,38117400.0,2022-05-22 02:15:33.982383
15246601.791151255,38115300.0,2022-05-22 02:15:38.938250
15246999.10538203,38116500.0,2022-05-22 02:15:43.899623
15246925.944944179,38116900.0,2022-05-22 02:15:48.857605
15246863.31158847,38117000.0,2022-05-22 02:15:53.812960
15246918.724132383,38117200.0,2022-05-22 02:15:58.770865
15246281.767063528,38114500.0,2022-05-22 02:16:03.732050
15246580.89673162,38115500.0,2022-05-22 02:16:08.694774
15245134.894357359,38113400.0,2022-05-22 02:16:13.661259
15245134.894357359,38113400.0,2022-05-22 02:16:18.628261
15241643.708438039,38105300.0,2022-05-22 02:16:23.605033
15241970.927736586,38106600.0,2022-05-22 02:16:28.568697
15241967.0166968,38106600.0,2022-05-22 02:16:33.531542
15241967.0166968,38106600.0,2022-05-22 02:16:38.487776
15240844.92277277,38102500.0,2022-05-22 02:16:43.453011
15240676.038377285,38102700.0,2022-05-22 02:16:48.412176
15240231.865003765,38100900.0,2022-05-22 02:16:53.372492
15239709.147413801,38099100.0,2022-05-22 02:16:58.336208
15239709.147413801,38099100.0,2022-05-22 02:17:03.292742
15238283.212810183,38097100.0,2022-05-22 02:17:08.254805
15238227.371951979,38097100.0,2022-05-22 02:17:13.217214
15237971.92029038,38096200.0,2022-05-22 02:17:18.185991
15237765.937216898,38095700.0,2022-05-22 02:17:23.141291
15237051.902776767,38093800.0,2022-05-22 02:17:28.102371
15235300.258157348,38089700.0,2022-05-22 02:17:33.062176
15231088.536900068,38078400.0,2022-05-22 02:17:38.017628
15231021.89817071,38078800.0,2022-05-22 02:17:42.974300
15230949.344480366,38078800.0,2022-05-22 02:17:47.939108
15228238.1815161,38072000.0,2022-05-22 02:17:52.906219
15225590.45991242,38063600.0,2022-05-22 02:17:57.862961
15226188.226807067,38065300.0,2022-05-22 02:18:02.823833
15226566.515627038,38066500.0,2022-05-22 02:18:07.782452
15226787.65080649,38066700.0,2022-05-22 02:18:12.738763
15228465.071607137,38070300.0,2022-05-22 02:18:17.695962
15229477.890032476,38072900.0,2022-05-22 02:18:22.656932
15229149.043932844,38072300.0,2022-05-22 02:18:27.618038
15229729.363298457,38073700.0,2022-05-22 02:18:32.579653
15229360.231497413,38073000.0,2022-05-22 02:18:37.547310
15230511.568874871,38076100.0,2022-05-22 02:18:42.511204
15230514.949748322,38076100.0,2022-05-22 02:18:47.467353
15229577.830763156,38074400.0,2022-05-22 02:18:52.423753
15229455.694465673,38073800.0,2022-05-22 02:18:57.380254
15229249.806304341,38073300.0,2022-05-22 02:19:02.345006
15229371.229482431,38073300.0,2022-05-22 02:19:07.303188
15229606.049998974,38073800.0,2022-05-22 02:19:12.422809
15226968.021249676,38067700.0,2022-05-22 02:19:17.375949
15225968.647908067,38065500.0,2022-05-22 02:19:22.336401
15217052.193888277,38042800.0,2022-05-22 02:19:27.292140
15213038.064566249,38032100.0,2022-05-22 02:19:32.250029
15212120.605213484,38030600.0,2022-05-22 02:19:37.209254
15212354.37726053,38030900.0,2022-05-22 02:19:42.181874
15212607.2347391,38031300.0,2022-05-22 02:19:47.132328
15213327.113584856,38033600.0,2022-05-22 02:19:52.105393
15213385.55202105,38033700.0,2022-05-22 02:19:57.066718
15213554.754454875,38033600.0,2022-05-22 02:20:02.022080
15212775.014114076,38032000.0,2022-05-22 02:20:06.982014
15212015.636994218,38030000.0,2022-05-22 02:20:11.952668
15211801.889066432,38029500.0,2022-05-22 02:20:16.915256
15211122.999857927,38027600.0,2022-05-22 02:20:22.028060
15204670.961159283,38012900.0,2022-05-22 02:20:26.993086
15203900.239156853,38010100.0,2022-05-22 02:20:31.955838
15203009.11329953,38008200.0,2022-05-22 02:20:36.916400
15204042.779527832,38010000.0,2022-05-22 02:20:41.874997
15204694.267926907,38011600.0,2022-05-22 02:20:46.843664
15204489.564302409,38011300.0,2022-05-22 02:20:51.808479
15204727.567268431,38011800.0,2022-05-22 02:20:56.763246
15204708.600322645,38011700.0,2022-05-22 02:21:01.724243
15207651.626065135,38018900.0,2022-05-22 02:21:06.683988
15213065.64968211,38032400.0,2022-05-22 02:21:11.644000
15214079.543151785,38034900.0,2022-05-22 02:21:16.598297
15213839.897844512,38034400.0,2022-05-22 02:21:21.569170
15213985.684001122,38034800.0,2022-05-22 02:21:26.528913
15213494.18104887,38033000.0,2022-05-22 02:21:31.485621
15213372.13510775,38032900.0,2022-05-22 02:21:36.444295
15208024.994241545,38019100.0,2022-05-22 02:21:41.408436
15203287.46272853,38008400.0,2022-05-22 02:21:46.373512
15204080.201994484,38010900.0,2022-05-22 02:21:51.506813
15204636.53060838,38011500.0,2022-05-22 02:21:56.464593
15204646.152249113,38011500.0,2022-05-22 02:22:01.425088
15204780.367510486,38011900.0,2022-05-22 02:22:06.380208
15204055.773614366,38010400.0,2022-05-22 02:22:11.337411
15197247.430129003,37994200.0,2022-05-22 02:22:16.296235
15195674.776786368,37990200.0,2022-05-22 02:22:21.251776
15200777.456763083,38001600.0,2022-05-22 02:22:26.381189
15200611.053878522,38001700.0,2022-05-22 02:22:31.349507
15201215.533212597,38002100.0,2022-05-22 02:22:36.305848
15200311.78762117,38000700.0,2022-05-22 02:22:41.259695
15194560.424192691,37986200.0,2022-05-22 02:22:46.217739
15194784.98638944,37987200.0,2022-05-22 02:22:51.173751
15195334.873926675,37988300.0,2022-05-22 02:22:56.133178
15195261.513727676,37987500.0,2022-05-22 02:23:01.090382
15195203.315613989,37987500.0,2022-05-22 02:23:06.049300
